Season,Lg,Player,Draft Year,Draft Pick,Years Before 1st MVP,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,MVP Position,MVP Nationality,Finals Finish,MVP Height (ft),Wins,Losses,Win %,Conf Seed,College
2018,NBA,James Harden,2009,3,9,28,HOU,72,35.4,30.4,5.4,8.8,1.8,0.7,0.449,0.367,0.858,15.4,0.289,Guard,US,Did not reach Finals,6.42,65,17,0.793,1,Arizona State University
2017,NBA,Russell Westbrook,2008,4,9,28,OKC,81,34.6,31.6,10.7,10.4,1.6,0.4,0.425,0.343,0.845,13.1,0.224,Guard,US,Did not reach Finals,6.27,47,35,0.573,6,"University of California, Los Angeles"
2016,NBA,Stephen Curry,2009,7,,27,GSW,79,34.2,30.1,5.4,6.7,2.1,0.2,0.504,0.454,0.908,17.9,0.318,Guard,US,Lost in Finals,6.27,73,9,0.89,1,Davidson College
2015,NBA,Stephen Curry,2009,7,6,26,GSW,80,32.7,23.8,4.3,7.7,2,0.2,0.487,0.443,0.914,15.7,0.288,Guard,US,Won Finals,6.27,67,15,0.817,1,Davidson College
2014,NBA,Kevin Durant,2007,2,7,25,OKC,81,38.5,32,7.4,5.5,1.3,0.7,0.503,0.391,0.873,19.2,0.295,Forward,US,Did not reach Finals,6.76,59,23,0.72,2,"University of Texas, Austin"
2013,NBA,LeBron James,2003,1,,28,MIA,76,37.9,26.8,8,7.3,1.7,0.9,0.565,0.406,0.753,19.3,0.322,Forward,US,Won Finals,6.66,66,16,0.805,1,No College
2012,NBA,LeBron James,2003,1,,27,MIA,62,37.5,27.1,7.9,6.2,1.9,0.8,0.531,0.362,0.771,14.5,0.298,Forward,US,Won Finals,6.66,46,20,0.697,2,No College
2011,NBA,Derrick Rose,2008,1,3,22,CHI,81,37.4,25,4.1,7.7,1,0.6,0.445,0.332,0.858,13.1,0.208,Guard,US,Did not reach Finals,6.27,62,20,0.756,1,University of Memphis
2010,NBA,LeBron James,2003,1,,25,CLE,76,39,29.7,7.3,8.6,1.6,1,0.503,0.333,0.767,18.5,0.299,Forward,US,Did not reach Finals,6.66,61,21,0.744,1,No College
2009,NBA,LeBron James,2003,1,6,24,CLE,81,37.7,28.4,7.6,7.2,1.7,1.1,0.489,0.344,0.78,20.3,0.318,Forward,US,Did not reach Finals,6.66,66,16,0.805,1,No College
